english,name,type,dosage,disposition
FENOFIBRATE,آنی لیپ,کپسول,100 mg,خوراکی 
VALSARTAN,والزودک,قرص,80 mg,خوراکی 
PANTOPRAZOLE (AS SODIUM SESQUIHYDRATE),پنتوپرازول,کپسول,20 mg,انتریک کوتد خوراکی
BISOPROLOL FUMARATE,بیسوتا,قرص,2.5 mg,خوراکی 
ROSUVASTATIN (AS CALCIUM),رزورکسین,قرص,20 mg,خوراکی 
MEFENAMIC ACID,مفنامیک اسید,کپسول,250 mg,خوراکی 
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,جارینومت,قرص,12.5 mg/1000 mg,خوراکی 
OFLOXACIN,افلوکساسین,قرص,200 mg,خوراکی 
RASBURICASE,فستورتک,پودر,1.5 mg mg,برای تهیه محلول تزریقی پرنترال
AMANTADINE HYDROCHLORIDE,آمانتادین,کپسول,100 mg,خوراکی 
LEVODOPA / CARBIDOPA / ENTACAPONE,ناکسیمت,قرص,100 mg/25 mg/200 mg,خوراکی 
LEVOFLOXACIN,لویلوکس,قرص,500 mg,خوراکی 
CLINDAMYCIN (AS HYDROCHLORIDE),کلیندامایسین-حکیم,کپسول,150 mg,خوراکی 
RIVAROXABAN,کلاتوور,قرص,15 mg,خوراکی 
IRINOTECAN HYDROCHLORIDE,الوینوتک,محلول,20 mg/1mL 5 mg,غلیظ تزریقی پرنترال
HYOSCINE-N-BUTYL BROMIDE,هیوسین- ان- بوتیل بروماید,قرص,10 mg,خوراکی 
ASA (ACETYLSALICYLIC ACID),آ.اس.آ,قرص,80 mg,انتریک کوتد خوراکی
DIPHENHYDRAMINE / AMMONIUM CHLORIDE,دیفن هیدرامین کامپاند,شربت,12.5 mg/125 mg/5mL 60 mL,خوراکی 
AMOXICILLIN,آموراکس,پودر,250 mg/5mL 100 mL,برای تهیه سوسپانسیون خوراکی
DAPOXETINE (AS HYDROCHLORIDE),داپوکستین,قرص,60 mg,خوراکی 
SITAGLIPTIN (AS PHOSPHATE) / METFORMIN HYDROCHLORIDE,سیتافورمین,قرص,50 mg/500 mg,خوراکی 
GENTAMICIN,جنتامایسین,تزریقی,40 mg/1mL 2 mL,پرنترال 
NAPROXEN,ناپروکسن,قرص,250 mg,خوراکی 
IMATINIB (AS MESYLATE),ایماتینیب,قرص,100 mg,خوراکی 
CALCIPOTRIOL,کلسی پوتکس,پماد,50 ug/1g 30 g,موضعی 
SULFASALAZINE,آزوکولیت,قرص,500 mg,خوراکی 
BISOPROLOL FUMARATE,پرولی زکس,قرص,5 mg,خوراکی 
KETAMINE (AS HYDROCHLORIDE),کتامین روتکس مدیکا,تزریقی,50 mg/1mL 10 mg,پرنترال 
DILTIAZEM HYDROCHLORIDE,دیلتیازم,ژل,2 % 30 g,موضعی 
VITAMIN B1 (THIAMINE),ویتامین ب1-شفا,قرص,300 mg,خوراکی 
CELECOXIB,سلبرین,کپسول,100 mg,خوراکی 
ESOMEPRAZOLE,نکسیوم,قرص,40 mg,انتریک کوتد خوراکی
DESLORATADINE,نئوتادین,شربت,2.5 mg/5 mL 120 mL,خوراکی 
IPRATROPIUM BROMIDE,ایپراتروپیوم بروماید آلدویونیون,محلول,250 ug/1mL 2 mL,استنشاقی 
ACETYLCYSTEINE / ASCORBIC ACID,موکوسیل,پودر,600 mg/75 mg g,خوراکی 
VINBLASTINE SULFATE,وینب اسپال,محلول,1 mg/1mL 10 mg,تزریقی پرنترال
PHOSPHATE (ORGANIC),گلیکوفوس,تزریقی,216 mg/1mL 20 mL,پرنترال 
ATRACURIUM BESYLATE,آتراکورین,تزریقی,10 mg/1mL 5 mL,پرنترال 
EMPAGLIFLOZIN / LINAGLIPTIN,لیجاردین,قرص,25 mg/5 mg,خوراکی 
AZITHROMYCIN,آزیترومایسین,قرص,500 mg,خوراکی 
LEVOFLOXACIN,تاکسوکین,قرص,500 mg,خوراکی 
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE,سریتول,کپسول,50 ug/250 ug/1{dose},استنشاقی 
BENZOYL PEROXIDE,پنوکساید,ژل,10 % 30 g,موضعی 
KETOTIFEN (AS FUMARATE),کترام,شربت,1 mg/5mL 120 mL,خوراکی 
PALBOCICLIB,پادنزا,کپسول,75 mg,خوراکی 
CHLORPHENIRAMINE MALEATE,کلرفنیرآمین,شربت,2 mg/5 mL 60 mL,خوراکی 
DULOXETINE,لوکستا,کپسول,60 mg,انتریک کوتد خوراکی
DIENOGEST / ETHINYLESTRADIOL,فمیکا,قرص,2 mg/0.03 mg,خوراکی 
COAGULATION FACTOR VIII (RECOMBINANT),کوآگیت,پودر,2000 [iU] [iU],لئوفیلیزه برای تهیه محلول تزریقی پرنترال
FILGRASTIM,نئوپوژن,تزریقی,600 ug/1mL 0.5 ug,پرنترال 
IMATINIB (AS MESYLATE),ایماکو,کپسول,400 mg,خوراکی 
METFORMIN HYDROCHLORIDE / LINAGLIPTIN,تاگلیدا-دو,قرص,500 mg/2.5 mg,خوراکی 
METRONIDAZOLE,مترونیدازول,محلول,5 mg/1mL 100 mL,تزریقی پرنترال
MELOXICAM,ملوکسیکام,قرص,15 mg,خوراکی 
ATORVASTATIN (AS CALCIUM),آتورواستاتین,قرص,40 mg,خوراکی 
LEVOFLOXACIN,لویلوکس,قرص,500 mg,خوراکی 
COPPER SULFATE / ZINC SULFATE,آب آلیبور,لوسیون,1 g/1.5 g/100mL mL,موضعی 
SODIUM CHLORIDE,سدیم کلراید(بگ),محلول,0.9 % 3 L,جهت شستشو
RISPERIDONE,ریسپریدون,قرص,1 mg,خوراکی 
FLUTICASONE PROPIONATE,فلوتیکازون,اینهالر,50 ug/1{dose} 120 {Puff},استنشاقی 
SODIUM CHLORIDE,سدیم کلراید,محلول,0.45 % 1000 mL,تزریقی پرنترال
LOSARTAN POTASSIUM,لوزارتان,قرص,25 mg,خوراکی 
METFORMIN HYDROCHLORIDE,متفورمین,قرص,500 mg,پیوسته رهش خوراکی
CARBAMAZEPINE,تگرتول,قرص,200 mg,خوراکی 
BIOTIN,بیوتین,محلول,5 mg/1mL 1 mL,تزریقی عضلانی
ACETAMINOPHEN / CAFFEINE,استامین اکسترا,قرص,500 mg/65 mg,خوراکی 
ROSUVASTATIN (AS CALCIUM),رزوواستاتین-سبحان,قرص,5 mg,خوراکی 
BETAMETHASONE,بتازونکس,قرص,0.5 mg,خوراکی 
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,پگلیمت,قرص,12.5 mg/1000 mg,خوراکی 
HYOSCINE-N-BUTYL BROMIDE,هیوسیدیک,تزریقی,20 mg/1mL mL,پرنترال 
PREDNISOLONE ACETATE,پرکورد,"سوسپانسیون،",1 % 10 mL,قطره چشمی
FOLLITROPIN ALFA / LUTROPIN ALFA,پرگووریس,پودر,150 [iU]/75 [iU] ug,برای تهیه محلول تزریقی پرنترال
ACETAMINOPHEN / DIPHENHYDRAMINE / PHENYLEPHRINE,بیبی کلد,شربت,160 mg/12.5 mg/2.5 mg/5mL 60 mL,خوراکی 
PROPOFOL,آروفول,امولسیون,10 mg/1mL 20 mg,تزریقی پرنترال
CEFIXIME,آفاکسیم,قرص,200 mg,خوراکی 
SOMATROPIN,اکسی تروپین,پودر,4 [iU] mg,برای تهیه محلول تزریقی پرنترال
TELMISARTAN / HYDROCHLOROTHIAZIDE,تلمیک- اچ,قرص,80 mg/25 mg,خوراکی 
FLUOXETINE (AS HYDROCHLORIDE),فلوکستین,قرص,10 mg,خوراکی 
GABAPENTIN,گاباکس,کپسول,300 mg,خوراکی 
METHOXSALEN,ملادینین,قرص,10 mg,خوراکی 
METRONIDAZOLE,مترونیدازول,قرص,500 mg,خوراکی 
METHADONE HYDROCHLORIDE,متادون,قرص,40 mg,خوراکی 
PERTUZUMAB,پکتونا,محلول,30 mg/1mL 14 mg,غلیظ تزریقی پرنترال
MEMANTINE HYDROCHLORIDE,آلزیکسا ای آر,کپسول,7 mg,پیوسته رهش خوراکی
OXCARBAZEPINE,ایکتاز,قرص,300 mg,خوراکی 
ACETAMINOPHEN,تایلانول,"محلول،",100 mg/1mL 15 mL,قطره خوراکی
BENZOYL PEROXIDE,پنوکساید,ژل,5 % 30 g,موضعی 
ONDANSETRON (AS HYDROCHLORIDE),دمیدور,قرص,4 mg,خوراکی 
MEFENAMIC ACID,مفنافورت,قرص,500 mg,خوراکی 
LACTULOSE,لاکتولوز,شربت,10 g/15mL 240 mL,خوراکی 
PIPERACILLIN (AS SODIUM) / TAZOBACTAM (AS SODIUM),پیپراتاز,پودر,2 g/0.25 g g,برای تهیه محلول تزریقی پرنترال
ACETAMINOPHEN,استامینوفن-حکیم,قرص,500 mg,خوراکی 
ACETAMINOPHEN / GUAIFENESIN / PHENYLEPHRINE,نوریزموکو,شربت,125 mg/50 mg/2.5 mg/5mL 60 mL,خوراکی 
TENECTEPLASE,متالایز,پودر,50 mg mg,برای تهیه محلول تزریقی پرنترال
TADALAFIL,جیالیکسو,قرص,20 mg,خوراکی 
MESNA,اورمیکسان,تزریقی,100 mg/1mL 4 mL,پرنترال 
METFORMIN HYDROCHLORIDE / LINAGLIPTIN,لیناگلیپتین/ متفورمین,قرص,500 mg/2.5 mg,خوراکی 
AZITHROMYCIN,آزیترومایسین آریا,کپسول,250 mg,خوراکی 
DICLOFENAC SODIUM,دیکلوفناک سدیم,قرص,50 mg,انتریک کوتد خوراکی
ZOLEDRONIC ACID,زولوار,تزریقی,4 mg/5mL mL,پرنترال 
PERMETHRIN,لایسترین,کرم,5 % 30 g,موضعی 
POLYETHYLENE GLYCOL - ELECTROLYTE,پلی اتیلن گلایکول+الکترولیت,محلول,13.125 g/0.3508 g/0.1786 g/0.0502 g/25mL 200 mL,خوراکی 
EXPECTORANT CODEINE,اکسپکتورانت کدئین-عماد,شربت,100 mg/30 mg/10 mg/5 mL 60 mL,خوراکی 
TRACE METAL COMBINATION (2-1),آدامل ان,تزریقی,5.33 ug/0.34 mg/0.54 mg/99 ug/16.6 ug/0.21 mg/4.85 ug/6.9 ug/1.36 mg/1mL 10 mL,پرنترال 
SOTALOL HYDROCHLORIDE,سوتاکیم,قرص,80 mg,خوراکی 
BACLOFEN,باکلوول,قرص,25 mg,خوراکی 
LORATADINE,لوراتادین,شربت,5 mg/5 mL 60 mL,خوراکی 
OXYMETHOLONE,ماکساندولین,قرص,50 mg,خوراکی 
CLOBETASOL PROPIONATE,کلوبتازول-گیلارانکو,پماد,0.05 % 15 g,موضعی 
TRIAMCINOLONE NN,تریامسینولون ان ان,پماد,1 mg/2.5 mg/100000 [iU]/1g 15,موضعی 
EXPECTORANT CODEINE,اکسپکتورانت کدئین پاک دارو,شربت,100 mg/30 mg/10 mg/5 mL 60 mL,خوراکی 
POVIDONE IODINE,پوویدون آیداین-بهوزان,ژل,10 % 80 g,واژینال 
MOMETASONE FUROATE,مومتازون بهسا,لوسیون,0.1 % 20 mL,موضعی 
SUNITINIB (AS MALATE),سوتنت,کپسول,12.5 mg,خوراکی 
METFORMIN HYDROCHLORIDE / LINAGLIPTIN,لیروپریم,قرص,1000 mg/2.5 mg,خوراکی 
METHOTREXATE,ترگستا,محلول,50 mg/1mL 0.6 mg,تزریقی پرنترال
GALSULFASE,ناگلازایم,تزریقی,1 mg/1mL 5 mg,پرنترال 
TRAMADOL HYDROCHLORIDE,ترامادل آریا,قرص,50 mg,خوراکی 
GABAPENTIN,گاباپنتین-جالینوس,کپسول,300 mg,خوراکی 
CEFIXIME,سفیکسان,قرص,400 mg,خوراکی 
EXPECTORANT,اکسپکتورانت,شربت,100 mg/2 mg/30 mg/5mL 60 mL,خوراکی 
DEFERASIROX,اسورال,قرص,250 mg,برای تهیه سوسپانسیون خوراکی
EPLERENONE,پلرون,قرص,25 mg,خوراکی 
CHLORPROMAZINE HYDROCHLORIDE,سایکونورم,قرص,100 mg,خوراکی 
HYDROCORTISONE ACETATE,هیدروکورتیزون,پماد,1 % 15 g,موضعی 
PREGABALIN,پرگابالین,کپسول,150 mg {dose},خوراکی 
CHLORDIAZEPOXIDE,لیبراول,قرص,10 mg,خوراکی 
CITALOPRAM,سیتالوپرام-شفا,قرص,20 mg,خوراکی 
MONTELUKAST (AS SODIUM),سینکاست,گرانول,4 mg g,خوراکی 
PREGABALIN,گاباپرل,کپسول,100 mg,خوراکی 
THIORIDAZINE HYDROCHLORIDE,تایریکس,قرص,25 mg,خوراکی 
DULOXETINE,دلوکستین,کپسول,30 mg,انتریک کوتد خوراکی
POLYETHYLENE GLYCOL - ELECTROLYTE,پیدرولاکس پلاس,محلول,13.125 g/0.3508 g/0.1786 g/0.0502 g/25mL 200 mL,خوراکی 
ADAPALENE / BENZOYL PEROXIDE,ای سی کیور ام ال ایی,ژل,0.1 %/2.5 % 15 g,موضعی 
FLUTICASONE PROPIONATE,فلوتیکازون,اینهالر,125 ug/1{dose} 120 {Puff},استنشاقی 
OFLOXACIN,افلوکساسین,قرص,300 mg,خوراکی 
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,گلایسنمین,قرص,12.5 mg/1000 mg,خوراکی 
AMANTADINE HYDROCHLORIDE,آمورل,کپسول,100 mg,خوراکی 
ADULT COLD PREPARATIONS (4-3),سرماخوردگی,قرص,325 mg/5 mg/2 mg,خوراکی 
DIAZEPAM,دیازپام-سبحان,قرص,2 mg,خوراکی 
DULOXETINE,دلوکسی کپ,کپسول,20 mg,انتریک کوتد خوراکی
PRAMIPEXOLE (AS DIHYDROCHLORIDE),سیفرول,قرص,1.05 mg,پیوسته رهش خوراکی
CEFAZOLIN,آفازول,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
HYOSCINE-N-BUTYL BROMIDE,هیوسیبان,قرص,10 mg,خوراکی 
DIAZOXIDE,یوداکسن,قرص,50 mg,خوراکی 
CLOBETASOL PROPIONATE,کلوبتازول-ناژو,کرم,0.05 % 15 g,موضعی 
SITAGLIPTIN (AS PHOSPHATE),سیتاگلیپتین-شفا,قرص,100 mg,خوراکی 
TEICOPLANIN,تیکومیکس,پودر,400 mg mg,برای تهیه محلول تزریقی پرنترال
LACTULOSE,سیرولاکت,شربت,10 g/15mL 240 mL,خوراکی 
ADAPALENE,آداپالن,محلول,0.1 % 30 mL,موضعی 
LINAGLIPTIN,لیناگلیپتین,قرص,5 mg,خوراکی 
DIGESTIVE,دایجستیو,قرص,40 mg/6000 [iU]/10500 [iU]/600 [iU],انتریک کوتد خوراکی
SERTRALINE (AS HYDROCHLORIDE),زولامین,قرص,50 mg,خوراکی 
IMIPENEM / CILASTATIN,سیلاویل,پودر,500 mg/500 mg mg,برای تهیه محلول تزریقی پرنترال
LEVETIRACETAM,لوبل,محلول,100 mg/1 mL 120 mL,خوراکی 
ROSUVASTATIN (AS CALCIUM),رزوواستاتین-سبحان,قرص,20 mg,خوراکی 
MEBEVERINE HYDROCHLORIDE,مورین,کپسول,200 mg,پیوسته رهش خوراکی
LOPERAMIDE HYDROCHLORIDE,لوپرامید,قرص,2 mg,خوراکی 
ATORVASTATIN (AS CALCIUM),آتورواستاتین,قرص,20 mg,خوراکی 
PALBOCICLIB,سایبرین,کپسول,100 mg,خوراکی 
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,پگلیمت,قرص,5 mg/1000 mg,خوراکی 
TETANUS IMMUNE GLOBULIN,سرو-تت,تزریقی,250 [iU]/1mL [iU],پرنترال 
ANTIHISTAMINE DECONGESTANT (2),آنتی هیستامین دکونژستانت,قرص,4 mg/10 mg,خوراکی 
METHYLPREDNISOLONE ACETATE,متیل پردنیزولون استات,سوسپانسیون,40 mg/1mL 1 mL,تزریقی پرنترال
BISOPROLOL FUMARATE,بیزوپرولول,قرص,5 mg,خوراکی 
LOSARTAN POTASSIUM,لوزاتن,قرص,50 mg,خوراکی 
ROSUVASTATIN (AS CALCIUM),رزوواستاتین,قرص,20 mg,خوراکی 
RINGER LACTATE,رینگر لاکتات,محلول,500 mL,تزریقی داخل وریدی
IBUPROFEN,ایبوپروفن,ژل,5 % 60 g,موضعی 
LIDOCAINE,لیدوکائین نیکسادا,اسپری,10 mg/1{dose} 20 mL,موضعی 
CAPTOPRIL,کاپتوپریل سها,قرص,25 mg,خوراکی 
ESOMEPRAZOLE,ازوفلاکس,قرص,40 mg,انتریک کوتد خوراکی
PERMETHRIN,پرمترین-گیلارانکو,شامپو,1 % 60 mL,موضعی 
TADALAFIL,تادالافیل,قرص,20 mg,خوراکی 
DANAZOL,دانوژن,کپسول,100 mg,خوراکی 
PANTOPRAZOLE (AS SODIUM),آفاپرازول,پودر,40 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE / SIMETHICONE,آدی ژل-اس,سوسپانسیون,225 mg/200 mg/25 mg/5mL 10 mL,خوراکی 
DIPHENHYDRAMINE / AMMONIUM CHLORIDE,دیفنکسیر-سی,شربت,12.5 mg/125 mg/5mL 60 mL,خوراکی 
AMOXICILLIN,آموکسی سیلین,پودر,250 mg/5mL 100 mL,برای تهیه سوسپانسیون خوراکی
TIRZEPATIDE,لانیسا,محلول,2.5 mg/0.5mL mg,تزریقی زیر جلدی
CLOMIPRAMINE HYDROCHLORIDE,کلومیپرامین,قرص,10 mg,خوراکی 
GRANISETRON,گرانیسترون,محلول,1 mg/1mL 3 mL,تزریقی داخل وریدی
LEVOFLOXACIN,لووفلوکساسین,قرص,500 mg,خوراکی 
LANSOPRAZOLE,لانزو عبیدی,کپسول,30 mg,انتریک کوتد خوراکی
FAMOTIDINE,فاموتیدین,محلول,10 mg/1mL 2 mL,تزریقی پرنترال
MIDAZOLAM,زودالم,تزریقی,5 mg/1mL 1 mL,پرنترال 
LEVETIRACETAM,لوتیرامین,محلول,100 mg/1 mL 120 mL,خوراکی 
REPAGLINIDE,نیوبت,قرص,1 mg,خوراکی 
DIPHENHYDRAMINE HYDROCHLORIDE,دیفن هیدرامین-الحاوی,محلول,12.5 mg/5mL 60 mL,خوراکی 
CYSTEAMINE (AS BITARTRATE),سیستئامد,کپسول,150 mg,خوراکی 
FLUTICASONE PROPIONATE,فلوهیل,اینهالر,125 ug/1{dose} 120 mg,استنشاقی 
PEDIATRIC GRIPPE,فلوپد,شربت,0.67 mg/10 mg/5mL 60 mL,خوراکی 
SIROLIMUS,راپامیون,قرص,1 mg,خوراکی 
ASA (ACETYLSALICYLIC ACID),آ اس آ-حکیم,قرص,80 mg,انتریک کوتد خوراکی
VALSARTAN / HYDROCHLOROTHIAZIDE,پانامیکس,قرص,160 mg/25 mg,خوراکی 
METHYLPREDNISOLONE (AS SODIUM SUCCINATE),متیل پردنیزولون (بصورت سدیم سوکسینات),پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
ZOLEDRONIC ACID,زوبیس,تزریقی,4 mg/5mL mg,پرنترال 
TETRACYCLINE HYDROCHLORIDE,تتراسایکلین بهسا,پماد,3 % 15 g,موضعی 
LIDOCAINE HYDROCHLORIDE,لیدوکائین,محلول,2 % 50 mL,تزریقی پرنترال
VITAMIN K1 (PHYTOMENADIONE),کنادیون,قرص,10 mg,جویدنی خوراکی
IBUPROFEN,تدافن,قرص,400 mg,خوراکی 
GEMCITABINE HYDROCHLORIDE,جمسیتابین آکویدا,محلول,100 mg/1mL 10 g,غلیظ تزریقی پرنترال
FLUOXETINE (AS HYDROCHLORIDE),فلوکستین,شربت,4 mg/1mL 60 mL,خوراکی 
VALSARTAN / HYDROCHLOROTHIAZIDE,والزودک-اچ سی تی,قرص,160 mg/12.5 mg,خوراکی 
FOLIC ACID,فولیک اسید,قرص,5 mg,خوراکی 
ACETAMINOPHEN,روزافن,قرص,500 mg,خوراکی 
OXALIPLATIN,زوپلات,محلول,5 mg/1mL 20 mL,غلیظ تزریقی پرنترال
DULOXETINE,دلوکسیما,کپسول,60 mg,انتریک کوتد خوراکی
ROSUVASTATIN (AS CALCIUM),رزوواستاتین-حکیم,قرص,5 mg,خوراکی 
OMALIZUMAB,زرافیل,محلول,150 mg/1mL 1 mg,تزریقی پرنترال
NILOTINIB,نئونیب,کپسول,200 mg,خوراکی 
OMEPRAZOLE,امپروسد,کپسول,) 20 mg,(پلت های انتریک کوتد خوراکی
APIXABAN,زابانو,قرص,2.5 mg,خوراکی 
IPRATROPIUM BROMIDE,ایپراتروپیوم بروماید,اسپری,21 ug/1{Puff} 25 mL,با دوز اندازه گیری شده از راه بینی
LISDEXAMFETAMINE MESILATE,ویاس,کپسول,70 mg,خوراکی 
MONTELUKAST (AS SODIUM),سینکاست,گرانول,4 mg g,خوراکی 
APREMILAST,آمالتا,قرص,10 mg,خوراکی 
CALFACTANT,اینفاسرف,سوسپانسیون,35 mg/1mL 3 mL,داخل تراشه ای
DAPOXETINE (AS HYDROCHLORIDE),اگزیرکت,قرص,30 mg,خوراکی 
OMEPRAZOLE,امپیکر,کپسول,) 20 mg,(پلت های انتریک کوتد خوراکی
TRIAMCINOLONE ACETONIDE,تریامسینولون,تزریقی,40 mg/1mL 1 mL,پرنترال 
QUETIAPINE (AS FUMARATE),کوئمایند,قرص,25 mg,خوراکی 
TRIAMCINOLONE NN,تریامسینولون ان ان,پماد,1 mg/2.5 mg/100000 [iU]/1g 15 g,موضعی 
ABIRATERONE ACETATE,براتیگا,قرص,250 mg,خوراکی 
BETAMETHASONE (AS VALERATE),بتامتازون-عماد,کرم,0.1 % 15 g,موضعی 
HYDRALAZINE HYDROCHLORIDE,هیدرالازین,قرص,50 mg,خوراکی 
SILODOSIN,سیلادر,کپسول,4 mg,خوراکی 
BISOPROLOL FUMARATE,بیزوپرولول,قرص,2.5 mg,خوراکی 
ADULT COLD PREPARATIONS (4-3),گریپ کات کلد,قرص,325 mg/5 mg/2 mg,خوراکی 
AMINO ACID 10% PAEDIATRIC (1),آمینوون اینفنت 10%,محلول,250 %,تزریقی داخل وریدی
LACOSAMIDE,آرو-لاکوزامید,قرص,100 mg,خوراکی 
CIPROFLOXACIN (AS HYDROCHLORIDE),سیپروفلوکساسین,قرص,500 mg,خوراکی 
VALSARTAN,والسارتان-اکسیر,قرص,160 mg,خوراکی 
METFORMIN HYDROCHLORIDE,متفورسام,قرص,1000 mg,خوراکی 
FLUVOXAMINE MALEATE,بایووکسامین,قرص,50 mg,خوراکی 
PIROXICAM,پیروژل,ژل,0.5 g/100g 60 g,موضعی 
AZITHROMYCIN,آزیترومایسین داروپخش,قرص,500 mg,خوراکی 
LEFLUNOMIDE,لراوا,قرص,20 mg,خوراکی 
DOXEPIN,داکسیپن,کپسول,10 mg,خوراکی 
IMIQUIMOD,کیموسایت,کرم,5 % 7.5 g,موضعی 
ATENOLOL,آتنوکیم,قرص,100 mg,خوراکی 
PEGASPARGASE,انکاسپار,پودر,3750 [iU] [iU],برای تهیه محلول تزریقی پرنترال
PROPRANOLOL HYDROCHLORIDE,پروپرانولول,قرص,40 mg,خوراکی 
IMATINIB (AS MESYLATE),ایماتینیب اکویدا,کپسول,100 mg,خوراکی 
DICLOFENAC DIETHYLAMMONIUM,دیکلوفناک مدیفارم,ژل,1 % 60 g,موضعی 
SEVOFLURANE,سویترو,اینهالر,250 mL mL,استنشاقی 
SILDENAFIL (AS CITRATE),ویگرودیت,قرص,100 mg,خوراکی 
EZETIMIBE / ROSUVASTATIN (AS CALCIUM),کروزت,قرص,10 mg/10 mg,خوراکی 
BETAMETHASONE,بتازونکس,قرص,0.5 mg,خوراکی 
SODIUM CHLORIDE,نورمونیکس,اسپری,0.65 % 25 mL,از راه بینی
PERPHENAZINE,پرفنازین,قرص,8 mg,خوراکی 
